v1,v2,Unnamed: 2,Unnamed: 3,Unnamed: 4
ham,"Also, Did you finish the report yet? let me know",,,
spam,ALERT: CONGRATULATIONS! YOU HAVE BEEN SELECTED TO RECEIVE A FREE IPHONE. CLAIM NOW BY TEXTING CLAIM TO 84484,,,
ham,So Can you pick up milk on your way home? haha,,,
ham,So What time does the movie start? ok?,,,
ham,"SO GOOD MORNING, HOPE YOU SLEPT WELL HAHA",,,
ham,"Btw, How was your exam today? :)",,,
spam,"DEAR CUSTOMER, WIN A BRAND NEW CAR BY ENTERING OUR FREE DRAW. TEXT CAR TO 89545 BEFORE OFFER CLOSES TONIGHT",,,
ham,So Happy birthday! Hope you have a great day no rush,,,
ham,"Ok, Just landed, will call you soon haha 8555",,,
ham,"Btw, Did you finish the report yet? thanks",,,
ham,"Btw, I left my keys at your place, can you check? let me know",,,
ham,"Actually, I'm at the gym, call you after ok?",,,
spam,"Hi, You have won a guaranteed cash prize! Reply CASH to claim your reward of £2000 now before offer ends Reply STOP to opt out",,,
ham,"Ok, Can you send me the address again? see ya",,,
ham,So How was your exam today? see ya,,,
ham,"ACTUALLY, SORRY I MISSED YOUR CALL, WAS IN A MEETING :)",,,
ham,"Ok, Did you finish the report yet? let me know",,,
ham,"Actually, Good morning, hope you slept well :)",,,
ham,"Ok, Ok lar... I'll call you later thanks",,,
spam,"Hi, URGENT! You have won a 1 week FREE membership in our £100,000 prize Jackpot! Call 09061701444 now Offer ends soon",,,
ham,"OK, U DUN SAY SO EARLY HOR, U C ALREADY THEN SAY THANKS 3527",,,
ham,"Actually, What time does the movie start? :)",,,
ham,"Also, I'll be there in five minutes haha",,,
ham,"Lol that's so funny, send me the video 8109",,,
ham,SO HOW WAS YOUR EXAM TODAY? THANKS,,,
ham,"Actually, Cool, see you then let me know",,,
ham,"So Good morning, hope you slept well let me know",,,
spam,"Dear customer, Congratulations! You have been selected to receive a free iPhone. Claim now by texting CLAIM to 84484 Reply STOP to opt out",,,
ham,What are you doing this weekend? ok?,,,
spam,ALERT: FreeMsg: Txt CALL to 86888 and claim your reward of 3 hours talk time to use from your phone now Reply STOP to opt out 6047,,,
ham,"Btw, Happy birthday! Hope you have a great day see ya",,,
ham,"Good morning, hope you slept well 1794",,,
ham,"Ok, What are you doing this weekend? see ya 8586",,,
ham,"Well, The kids are asking when you'll be back ok?",,,
spam,"Dear customer, Your account has been credited with £500. Reply YES to claim your bonus now, offer ends today T&Cs apply",,,
spam,Text STOP to opt out or reply YES to claim your free entry into this week's £1000 prize draw,,,
spam,Free ringtone waiting for you to be collected. Simply text PASSWORD to 68866 now T&Cs apply,,,
ham,"Ok, Can we reschedule our meeting to Friday? let me know",,,
ham,"Hey, I'm at the gym, call you after no rush",,,
ham,"Actually, Lol that's so funny, send me the video ok? 4811",,,
ham,"Ok, What are you doing this weekend? ok?",,,
ham,So What time does the movie start?,,,
ham,"Actually, U dun say so early hor, u c already then say",,,
ham,"Btw, I'll pay you back on Friday, promise haha",,,
ham,"ACTUALLY, PLEASE REMEMBER TO FEED THE CAT HAHA",,,
ham,"Hey, How was your exam today?",,,
ham,"Btw, I'm on my way, be there in 10 mins",,,
ham,"Ok, I'm running late, traffic is bad haha",,,
ham,"So Good morning, hope you slept well 3639",,,
ham,"Also, Can we reschedule our meeting to Friday? haha",,,
ham,"ACTUALLY, MOM SAID DINNER IS READY, COME HOME NO RUSH 1609",,,
ham,So Can we reschedule our meeting to Friday?,,,
ham,"Hey, Hey, are you free tonight? Let's grab dinner see ya",,,
ham,"Actually, I'm on my way, be there in 10 mins haha",,,
ham,"Actually, Can we reschedule our meeting to Friday? 4950",,,
ham,"Hey, Can you pick up milk on your way home? ok?",,,
ham,SO WHAT ARE YOU DOING THIS WEEKEND? NO RUSH,,,
ham,"Hey, What time does the movie start? thanks",,,
ham,"WELL, WHAT ARE YOU DOING THIS WEEKEND?",,,
spam,"Hi, Your account has been credited with £500. Reply YES to claim your bonus now, offer ends today Reply STOP to opt out",,,
ham,"Ok, Did you finish the report yet? let me know",,,
ham,"Well, Let's meet at the coffee shop at 9 haha",,,
ham,"OK, U DUN SAY SO EARLY HOR, U C ALREADY THEN SAY NO RUSH 3441",,,
ham,"So Mom said dinner is ready, come home thanks 4522",,,
ham,"Ok, What time does the movie start? no rush 7248",,,
ham,"Actually, See you at the usual place tomorrow",,,
ham,"Ok, How was your exam today? :) 1046",,,
ham,"Hey, Thanks for helping me move last weekend :)",,,
ham,"Well, I'm at the gym, call you after :)",,,
ham,"HEY, SORRY I MISSED YOUR CALL, WAS IN A MEETING THANKS 7291",,,
ham,"Also, What time does the movie start? no rush",,,
ham,"WELL, MOM SAID DINNER IS READY, COME HOME SEE YA 8061",,,
ham,"Ok, Just landed, will call you soon haha",,,
ham,"I left my keys at your place, can you check? 3063",,,
ham,"Btw, Mom said dinner is ready, come home haha",,,
ham,What time does the movie start? see ya 8247,,,
ham,"I'M ON MY WAY, BE THERE IN 10 MINS OK?",,,
ham,"Actually, Sorry I missed your call, was in a meeting ok?",,,
ham,"Sorry I missed your call, was in a meeting haha 4340",,,
ham,"ACTUALLY, I'M AT THE GYM, CALL YOU AFTER :)",,,
ham,"Actually, Can we reschedule our meeting to Friday? thanks",,,
ham,"Well, Thanks for helping me move last weekend see ya 7652",,,
ham,"Well, Ok lar... I'll call you later no rush 6590",,,
ham,"BTW, U DUN SAY SO EARLY HOR, U C ALREADY THEN SAY NO RUSH",,,
spam,"Hi, URGENT! Your mobile number has won a prize of £5000! Call 09061743806 from a landline to claim Offer ends soon",,,
ham,"HEY, LET'S MEET AT THE COFFEE SHOP AT 9 NO RUSH",,,
ham,"JUST LANDED, WILL CALL YOU SOON",,,
ham,"I'll pay you back on Friday, promise haha",,,
spam,ALERT: Congratulations! You have been selected to receive a free iPhone. Claim now by texting CLAIM to 84484 T&Cs apply,,,
ham,"Actually, I'm on my way, be there in 10 mins haha 5703",,,
spam,"Hi, Reminder: your reward of £750 is waiting, claim now by texting CLAIM to 82277 before it expires 6536",,,
ham,"Actually, Ok lar... I'll call you later haha",,,
ham,"Also, Mom said dinner is ready, come home see ya 7442",,,
ham,"Hey, I left my keys at your place, can you check? :)",,,
ham,"Hey, What are you doing this weekend? no rush",,,
ham,What are you doing this weekend? haha 2103,,,
ham,So How was your exam today? thanks,,,
ham,"Hey, See you at the usual place tomorrow haha",,,
ham,"Well, Thanks for helping me move last weekend ok?",,,
ham,SO HAPPY BIRTHDAY! HOPE YOU HAVE A GREAT DAY OK?,,,
ham,The kids are asking when you'll be back haha,,,
ham,"Hey, I'll be there in five minutes no rush",,,
spam,NOTICE: Congratulations! You have been selected to receive a free iPhone. Claim now by texting CLAIM to 84484,,,
ham,"So I'll pay you back on Friday, promise thanks 2996",,,
ham,"Actually, Cool, see you then haha 6483",,,
spam,"ALERT: Bonus prize alert! You have won a £1500 cash reward, text WON to 87066 now to claim your reward Reply STOP to opt out",,,
ham,"ALSO, SORRY I MISSED YOUR CALL, WAS IN A MEETING OK?",,,
ham,So I'll be there in five minutes see ya,,,
spam,"Hi, WINNER!! As a valued customer you have been selected to receive a £900 prize reward! Call now T&Cs apply",,,
ham,"Actually, Ok lar... I'll call you later",,,
ham,"Well, Just landed, will call you soon :)",,,
ham,"Mom said dinner is ready, come home thanks",,,
ham,"Btw, I'm on my way, be there in 10 mins haha 5408",,,
ham,Nah I don't think I can make it tonight ok?,,,
ham,So What are you doing this weekend? :),,,
ham,"Also, Mom said dinner is ready, come home see ya",,,
ham,"Also, Thanks for helping me move last weekend let me know",,,
ham,"Actually, I'm on my way, be there in 10 mins no rush 7649",,,
ham,"Ok, Sorry I missed your call, was in a meeting",,,
ham,"Ok, I'm on my way, be there in 10 mins haha",,,
ham,SO THANKS FOR HELPING ME MOVE LAST WEEKEND LET ME KNOW 1410,,,
ham,"Ok, How was your exam today? ok? 6780",,,
ham,"So I'm running late, traffic is bad haha",,,
ham,"Btw, Can you send me the address again? let me know 9190",,,
ham,"OK, HAPPY BIRTHDAY! HOPE YOU HAVE A GREAT DAY LET ME KNOW",,,
ham,"Actually, See you at the usual place tomorrow see ya",,,
ham,"Btw, Cool, see you then see ya 5843",,,
ham,"ALSO, I'M RUNNING LATE, TRAFFIC IS BAD",,,
ham,"HEY, THANKS FOR HELPING ME MOVE LAST WEEKEND NO RUSH",,,
ham,"ALSO, CAN YOU PICK UP MILK ON YOUR WAY HOME? THANKS",,,
spam,"Hi, FreeMsg: Hey there darling, txt back to claim your free gift, hurry offer closes soon",,,
ham,"Also, Sorry I missed your call, was in a meeting see ya 2876",,,
ham,"WELL, MOM SAID DINNER IS READY, COME HOME 2650",,,
ham,"Btw, Happy birthday! Hope you have a great day :) 4505",,,
ham,"Well, Please remember to feed the cat let me know 5920",,,
ham,Nah I don't think I can make it tonight :) 3496,,,
ham,SEE YOU AT THE USUAL PLACE TOMORROW SEE YA,,,
ham,"BTW, THANKS FOR HELPING ME MOVE LAST WEEKEND LET ME KNOW",,,
ham,"Actually, What are you doing this weekend? haha 9561",,,
ham,"Ok, Can you send me the address again?",,,
ham,"Also, U dun say so early hor, u c already then say ok? 1958",,,
ham,"Ok, I'm on my way, be there in 10 mins see ya 3167",,,
ham,Happy birthday! Hope you have a great day see ya,,,
spam,"URGENT! YOU HAVE WON A 1 WEEK FREE MEMBERSHIP IN OUR £100,000 PRIZE JACKPOT! CALL 09061701444 NOW T&CS APPLY 9511",,,
spam,NOTICE: You have won a guaranteed cash prize! Reply CASH to claim your reward of £2000 now before offer ends,,,
ham,"Btw, Nah I don't think I can make it tonight see ya 9149",,,
ham,"SO HEY, ARE YOU FREE TONIGHT? LET'S GRAB DINNER HAHA",,,
ham,"So Sorry I missed your call, was in a meeting no rush 7385",,,
ham,"Well, Nah I don't think I can make it tonight :)",,,
ham,"Actually, Happy birthday! Hope you have a great day ok?",,,
ham,"Ok, Hey, are you free tonight? Let's grab dinner ok? 7684",,,
ham,"Hey, Ok lar... I'll call you later see ya",,,
ham,"Ok, Hey, are you free tonight? Let's grab dinner ok?",,,
ham,Let's meet at the coffee shop at 9 see ya 6603,,,
ham,"Well, I'll pay you back on Friday, promise :)",,,
ham,"Actually, What time does the movie start? ok?",,,
ham,"Hey, Hey, are you free tonight? Let's grab dinner 1927",,,
ham,"Hey, I'll be there in five minutes ok?",,,
ham,"Also, Good morning, hope you slept well thanks",,,
ham,"ACTUALLY, PLEASE REMEMBER TO FEED THE CAT OK? 6039",,,
spam,ALERT: Text STOP to opt out or reply YES to claim your free entry into this week's £1000 prize draw Offer ends soon 6118,,,
ham,"Btw, Did you finish the report yet? haha 8989",,,
ham,"ALSO, WHAT ARE YOU DOING THIS WEEKEND? OK?",,,
spam,"Hi, Bonus prize alert! You have won a £1500 cash reward, text WON to 87066 now to claim your reward Reply STOP to opt out",,,
ham,"Also, U dun say so early hor, u c already then say :)",,,
ham,So How was your exam today? see ya,,,
ham,"Well, Don't forget to bring your charger",,,
ham,"Hey, Can you pick up milk on your way home? haha",,,
ham,"Ok, I'm on my way, be there in 10 mins thanks 3522",,,
ham,"Ok, I'm on my way, be there in 10 mins ok?",,,
ham,"Well, The kids are asking when you'll be back thanks",,,
ham,"Actually, Happy birthday! Hope you have a great day haha",,,
ham,"Actually, Good morning, hope you slept well haha 8622",,,
spam,NOTICE: FREE entry into our weekly draw! Text WIN to 80086 now to claim your prize before it expires Offer ends soon,,,
ham,"Hey, I'm running late, traffic is bad thanks",,,
spam,"ALERT: SIX chances to win CASH! From 100 to 20,000 pounds. Text CSH11 and send to 87575",,,
ham,"Btw, Don't forget to bring your charger see ya",,,
ham,"Actually, See you at the usual place tomorrow let me know",,,
ham,So Can you send me the address again? see ya 6432,,,
ham,"Well, Can you send me the address again? haha 2565",,,
ham,"Actually, Nah I don't think I can make it tonight :)",,,
ham,"Actually, Can we reschedule our meeting to Friday? thanks",,,
ham,"Also, Lol that's so funny, send me the video :)",,,
ham,"BTW, I'M RUNNING LATE, TRAFFIC IS BAD NO RUSH",,,
ham,"Btw, Don't forget to bring your charger let me know 5585",,,
ham,"Well, The kids are asking when you'll be back ok?",,,
ham,"Btw, Please remember to feed the cat no rush 1595",,,
ham,"BTW, HAPPY BIRTHDAY! HOPE YOU HAVE A GREAT DAY OK?",,,
ham,So Let's meet at the coffee shop at 9 :),,,
ham,"Hey, Let's meet at the coffee shop at 9 see ya",,,
ham,"Actually, Good morning, hope you slept well haha",,,
ham,"WELL, I'M ON MY WAY, BE THERE IN 10 MINS HAHA 2110",,,
ham,"Well, I'll be there in five minutes see ya",,,
ham,"Actually, Thanks for helping me move last weekend 4954",,,
ham,"Hey, I'm on my way, be there in 10 mins haha 9443",,,
spam,NOTICE: Congratulations! You have been selected to receive a free iPhone. Claim now by texting CLAIM to 84484 Offer ends soon 6681,,,
ham,"Ok, Just landed, will call you soon let me know",,,
ham,"So I left my keys at your place, can you check?",,,
ham,"So I'm running late, traffic is bad ok?",,,
ham,"Actually, Cool, see you then thanks",,,
spam,"Your account has been credited with £500. Reply YES to claim your bonus now, offer ends today Limited time only",,,
ham,"Btw, Did you finish the report yet? see ya",,,
ham,"Also, Did you finish the report yet? see ya",,,
ham,"Well, Can we reschedule our meeting to Friday? see ya",,,
ham,"Actually, I left my keys at your place, can you check? ok?",,,
ham,"Hey, I'm on my way, be there in 10 mins haha",,,
ham,"Well, Please remember to feed the cat ok? 9534",,,
ham,"Ok, I left my keys at your place, can you check? haha",,,
ham,"Also, What time does the movie start? ok? 3847",,,
ham,Don't forget to bring your charger,,,
ham,"Ok, Nah I don't think I can make it tonight let me know",,,
ham,"ALSO, I LEFT MY KEYS AT YOUR PLACE, CAN YOU CHECK? SEE YA",,,
ham,"Hey, Cool, see you then haha 4882",,,
ham,So What are you doing this weekend? see ya 2625,,,
spam,"Dear customer, Congratulations! You have been selected to receive a free iPhone. Claim now by texting CLAIM to 84484 T&Cs apply 3155",,,
ham,"Btw, Can we reschedule our meeting to Friday? see ya",,,
ham,"OK, SEE YOU AT THE USUAL PLACE TOMORROW",,,
ham,"Actually, I'm at the gym, call you after haha",,,
ham,"Well, See you at the usual place tomorrow let me know",,,
ham,Can you pick up milk on your way home? ok?,,,
ham,"Hey, are you free tonight? Let's grab dinner let me know",,,
ham,"Mom said dinner is ready, come home thanks 8479",,,
ham,"Ok, U dun say so early hor, u c already then say thanks 2274",,,
ham,"Also, Cool, see you then haha",,,
ham,So Did you finish the report yet? haha,,,
spam,NOTICE: Text STOP to opt out or reply YES to claim your free entry into this week's £1000 prize draw Offer ends soon 3270,,,
spam,"Hi, Congratulations! You've been selected to receive a FREE £1000 cash reward. Text CLAIM to 88888 now",,,
ham,"Well, Just landed, will call you soon ok?",,,
ham,"I'LL PAY YOU BACK ON FRIDAY, PROMISE :) 4558",,,
ham,Can you pick up milk on your way home? thanks,,,
ham,"Ok, Happy birthday! Hope you have a great day",,,
ham,"Btw, Can we reschedule our meeting to Friday?",,,
ham,"I'm on my way, be there in 10 mins no rush",,,
ham,"Cool, see you then thanks",,,
ham,"ACTUALLY, U DUN SAY SO EARLY HOR, U C ALREADY THEN SAY SEE YA",,,
ham,"Hey, Just landed, will call you soon haha",,,
spam,FREE entry into our weekly draw! Text WIN to 80086 now to claim your prize before it expires Offer ends soon,,,
ham,"Btw, Just landed, will call you soon thanks",,,
ham,"Well, Sorry I missed your call, was in a meeting thanks 3018",,,
ham,"Actually, How was your exam today? no rush",,,
ham,"Btw, Thanks for helping me move last weekend ok?",,,
ham,"Ok, See you at the usual place tomorrow",,,
spam,"Your account has been credited with £500. Reply YES to claim your bonus now, offer ends today Reply STOP to opt out 7147",,,
ham,SO DON'T FORGET TO BRING YOUR CHARGER NO RUSH,,,
ham,"BTW, I'M RUNNING LATE, TRAFFIC IS BAD",,,
ham,"Btw, Good morning, hope you slept well no rush",,,
ham,Don't forget to bring your charger haha,,,
ham,"Hey, I'm on my way, be there in 10 mins thanks",,,
ham,Please remember to feed the cat let me know 2684,,,
ham,"So I'm running late, traffic is bad haha",,,
ham,"Ok, Cool, see you then",,,
ham,"So Cool, see you then :)",,,
ham,"Hey, I left my keys at your place, can you check? no rush 6664",,,
ham,"Also, U dun say so early hor, u c already then say :)",,,
ham,"BTW, I'M AT THE GYM, CALL YOU AFTER NO RUSH",,,
ham,"So I'll pay you back on Friday, promise no rush",,,
ham,SO WHAT ARE YOU DOING THIS WEEKEND? LET ME KNOW,,,
ham,SO I'LL BE THERE IN FIVE MINUTES OK? 4629,,,
ham,"Btw, Lol that's so funny, send me the video :)",,,
ham,"Well, I'm at the gym, call you after 3001",,,
ham,"Btw, U dun say so early hor, u c already then say :) 7044",,,
ham,Can you send me the address again? ok?,,,
ham,"ACTUALLY, HOW WAS YOUR EXAM TODAY? OK? 5764",,,
ham,"Btw, Thanks for helping me move last weekend no rush",,,
ham,"Hey, Good morning, hope you slept well see ya 2056",,,
ham,"Ok, Can you send me the address again? let me know",,,
ham,Thanks for helping me move last weekend :),,,
ham,"OK, JUST LANDED, WILL CALL YOU SOON SEE YA",,,
ham,"Also, Don't forget to bring your charger haha",,,
ham,"Well, I'm at the gym, call you after 1744",,,
spam,"Bonus prize alert! You have won a £1500 cash reward, text WON to 87066 now to claim your reward 2426",,,
ham,"Actually, I'm running late, traffic is bad no rush",,,
spam,WINNER!! As a valued customer you have been selected to receive a £900 prize reward! Call now Reply STOP to opt out 9621,,,
ham,"OK, HOW WAS YOUR EXAM TODAY? OK?",,,
ham,"Well, U dun say so early hor, u c already then say",,,
ham,"Also, Did you finish the report yet? haha",,,
spam,You have been randomly selected to win a shopping voucher. Text SHOP to 85023 now for free entry T&Cs apply,,,
ham,"Actually, Did you finish the report yet? no rush",,,
ham,"Also, Lol that's so funny, send me the video ok?",,,
ham,So Please remember to feed the cat let me know,,,
ham,"ACTUALLY, LET'S MEET AT THE COFFEE SHOP AT 9 THANKS 7114",,,
ham,"Also, Please remember to feed the cat thanks",,,
ham,"Well, Can you pick up milk on your way home? see ya",,,
ham,"Well, Can you send me the address again? :)",,,
ham,"Hey, Hey, are you free tonight? Let's grab dinner haha",,,
ham,"Well, I'm at the gym, call you after",,,
spam,"NOTICE: Last chance! Claim your free prize now by calling 09050002311, offer closes at midnight tonight Reply STOP to opt out",,,
ham,"Also, Happy birthday! Hope you have a great day ok?",,,
ham,"Actually, I'm at the gym, call you after ok? 5889",,,
ham,So Can we reschedule our meeting to Friday? ok? 3662,,,
ham,"I'LL PAY YOU BACK ON FRIDAY, PROMISE :) 4558",,,
ham,"SO COOL, SEE YOU THEN SEE YA",,,
ham,"Also, Cool, see you then",,,
ham,"Actually, The kids are asking when you'll be back thanks",,,
spam,"Dear customer, Win a brand new car by entering our free draw. Text CAR to 89545 before offer closes tonight 2875",,,
ham,"Actually, What are you doing this weekend? haha 5890",,,
ham,"Hey, How was your exam today? let me know",,,
ham,"Well, Lol that's so funny, send me the video haha",,,
ham,"BTW, CAN WE RESCHEDULE OUR MEETING TO FRIDAY? SEE YA",,,
ham,"So I'm on my way, be there in 10 mins no rush",,,
ham,"So Good morning, hope you slept well let me know",,,
ham,"Well, Please remember to feed the cat see ya",,,
ham,"Actually, Don't forget to bring your charger see ya 7437",,,
ham,"Actually, The kids are asking when you'll be back :) 1757",,,
spam,"Hi, Text STOP to opt out or reply YES to claim your free entry into this week's £1000 prize draw Limited time only",,,
ham,"Hey, What are you doing this weekend? let me know",,,
ham,"Well, Did you finish the report yet? thanks",,,
ham,So I'll be there in five minutes see ya,,,
ham,"Also, Don't forget to bring your charger :) 1568",,,
ham,"Well, I'm at the gym, call you after haha",,,
spam,ALERT: FREE MSG: You are eligible for a discount on your next mobile bill. Call 08000930705 now to claim,,,
ham,"Well, I'm on my way, be there in 10 mins no rush",,,
ham,"Ok, Can you send me the address again? no rush",,,
spam,ALERT: FREE RINGTONE WAITING FOR YOU TO BE COLLECTED. SIMPLY TEXT PASSWORD TO 68866 NOW REPLY STOP TO OPT OUT 5372,,,
ham,Did you finish the report yet? haha,,,
ham,"Hey, Hey, are you free tonight? Let's grab dinner see ya",,,
ham,"MOM SAID DINNER IS READY, COME HOME HAHA 4610",,,
ham,"Good morning, hope you slept well haha",,,
ham,NAH I DON'T THINK I CAN MAKE IT TONIGHT,,,
ham,"BTW, U DUN SAY SO EARLY HOR, U C ALREADY THEN SAY NO RUSH",,,
ham,So What time does the movie start? ok?,,,
ham,"Actually, I'll pay you back on Friday, promise thanks",,,
ham,"Btw, Happy birthday! Hope you have a great day :)",,,
ham,"Also, Happy birthday! Hope you have a great day thanks",,,
ham,"Hey, Hey, are you free tonight? Let's grab dinner :)",,,
ham,"Well, I'm at the gym, call you after no rush",,,
ham,"Actually, I'll be there in five minutes let me know",,,
ham,"Btw, Did you finish the report yet? thanks",,,
ham,"HEY, LOL THAT'S SO FUNNY, SEND ME THE VIDEO OK?",,,
ham,"Well, Good morning, hope you slept well let me know 8245",,,
ham,"Ok, Ok lar... I'll call you later no rush",,,
ham,"Ok, What time does the movie start? :)",,,
ham,"Well, What time does the movie start? no rush",,,
ham,"ACTUALLY, I'M AT THE GYM, CALL YOU AFTER OK?",,,
ham,"Also, Did you finish the report yet? haha 8141",,,
ham,So Can we reschedule our meeting to Friday? let me know 2380,,,
ham,"Btw, I left my keys at your place, can you check? let me know",,,
ham,"HEY, WHAT TIME DOES THE MOVIE START? :)",,,
ham,"Btw, I'm at the gym, call you after haha 7738",,,
ham,HOW WAS YOUR EXAM TODAY? NO RUSH 4530,,,
ham,"HEY, DID YOU FINISH THE REPORT YET? OK?",,,
ham,"Hey, See you at the usual place tomorrow see ya 4387",,,
ham,"Hey, Thanks for helping me move last weekend see ya",,,
ham,"Also, Can you pick up milk on your way home?",,,
ham,"Actually, Good morning, hope you slept well haha",,,
ham,"Good morning, hope you slept well thanks",,,
ham,"Btw, See you at the usual place tomorrow :)",,,
ham,CAN YOU PICK UP MILK ON YOUR WAY HOME? OK?,,,
ham,"Actually, See you at the usual place tomorrow ok?",,,
ham,"ACTUALLY, HOW WAS YOUR EXAM TODAY? THANKS",,,
spam,"DEAR CUSTOMER, CONGRATULATIONS! YOU HAVE BEEN SELECTED TO RECEIVE A FREE IPHONE. CLAIM NOW BY TEXTING CLAIM TO 84484 OFFER ENDS SOON 9814",,,
ham,"Well, Happy birthday! Hope you have a great day thanks",,,
ham,"Ok, What are you doing this weekend?",,,
spam,NOTICE: FREE entry into our weekly draw! Text WIN to 80086 now to claim your prize before it expires Reply STOP to opt out,,,
ham,"Btw, How was your exam today? thanks",,,
spam,"Hi, URGENT! You have won a 1 week FREE membership in our £100,000 prize Jackpot! Call 09061701444 now T&Cs apply",,,
ham,"ACTUALLY, I LEFT MY KEYS AT YOUR PLACE, CAN YOU CHECK? HAHA",,,
ham,So I'll be there in five minutes see ya,,,
ham,"Actually, U dun say so early hor, u c already then say let me know 3689",,,
ham,"ACTUALLY, SORRY I MISSED YOUR CALL, WAS IN A MEETING :)",,,
ham,"Also, Happy birthday! Hope you have a great day thanks",,,
spam,"Dear customer, FREE MSG: You are eligible for a discount on your next mobile bill. Call 08000930705 now to claim Limited time only 8076",,,
ham,"Also, Can we reschedule our meeting to Friday?",,,
ham,"Actually, Mom said dinner is ready, come home :)",,,
ham,"Ok, I left my keys at your place, can you check? see ya",,,
ham,"Also, Cool, see you then see ya",,,
ham,"Btw, Just landed, will call you soon haha",,,
spam,Congratulations! You have been selected to receive a free iPhone. Claim now by texting CLAIM to 84484 Limited time only,,,
ham,"Well, Don't forget to bring your charger see ya",,,
ham,"Hey, I'll pay you back on Friday, promise thanks 2535",,,
ham,"Hey, Cool, see you then :)",,,
ham,"Btw, Good morning, hope you slept well ok?",,,
spam,"NOTICE: Your account has been credited with £500. Reply YES to claim your bonus now, offer ends today Limited time only",,,
spam,"Dear customer, SIX chances to win CASH! From 100 to 20,000 pounds. Text CSH11 and send to 87575 Offer ends soon",,,
ham,"Well, See you at the usual place tomorrow thanks",,,
ham,"Btw, Lol that's so funny, send me the video let me know",,,
ham,"Hey, Nah I don't think I can make it tonight haha",,,
ham,"Btw, Good morning, hope you slept well let me know 4292",,,
ham,"OK, GOOD MORNING, HOPE YOU SLEPT WELL",,,
ham,Nah I don't think I can make it tonight :),,,
ham,So Can you send me the address again? ok?,,,
ham,"Ok, The kids are asking when you'll be back ok? 3608",,,
ham,DON'T FORGET TO BRING YOUR CHARGER THANKS,,,
ham,Can you send me the address again? no rush,,,
spam,ALERT: FreeMsg: Txt CALL to 86888 and claim your reward of 3 hours talk time to use from your phone now Reply STOP to opt out 6047,,,
ham,"U dun say so early hor, u c already then say ok?",,,
ham,"Actually, I'll be there in five minutes no rush",,,
spam,NOTICE: CONGRATULATIONS! YOU HAVE BEEN SELECTED TO RECEIVE A FREE IPHONE. CLAIM NOW BY TEXTING CLAIM TO 84484,,,
ham,"Ok, Hey, are you free tonight? Let's grab dinner :) 1359",,,
ham,"Well, Just landed, will call you soon :) 4678",,,
ham,NAH I DON'T THINK I CAN MAKE IT TONIGHT SEE YA,,,
ham,"Hey, Let's meet at the coffee shop at 9 :)",,,
ham,"Well, Sorry I missed your call, was in a meeting",,,
spam,"NOTICE: BONUS PRIZE ALERT! YOU HAVE WON A £1500 CASH REWARD, TEXT WON TO 87066 NOW TO CLAIM YOUR REWARD T&CS APPLY",,,
ham,"Ok, Lol that's so funny, send me the video haha",,,
ham,"HEY, WHAT ARE YOU DOING THIS WEEKEND? SEE YA 8361",,,
ham,"WELL, MOM SAID DINNER IS READY, COME HOME THANKS",,,
ham,Did you finish the report yet? haha,,,
ham,"BTW, GOOD MORNING, HOPE YOU SLEPT WELL :)",,,
spam,"NOTICE: FREEMSG: HEY THERE DARLING, TXT BACK TO CLAIM YOUR FREE GIFT, HURRY OFFER CLOSES SOON T&CS APPLY",,,
ham,"Well, Just landed, will call you soon haha 2121",,,
ham,So The kids are asking when you'll be back :),,,
spam,"Your account has been credited with £500. Reply YES to claim your bonus now, offer ends today",,,
ham,So Can we reschedule our meeting to Friday? ok?,,,
ham,"Hey, Don't forget to bring your charger thanks",,,
ham,"Hey, U dun say so early hor, u c already then say let me know 9123",,,
spam,"ALERT: URGENT! You have won a 1 week FREE membership in our £100,000 prize Jackpot! Call 09061701444 now",,,
ham,"Hey, I'll be there in five minutes ok?",,,
ham,"So Hey, are you free tonight? Let's grab dinner let me know",,,
ham,"Hey, I'll pay you back on Friday, promise thanks",,,
ham,"Well, Thanks for helping me move last weekend let me know",,,
ham,"Also, Lol that's so funny, send me the video see ya",,,
spam,"Hi, URGENT! You have won a 1 week FREE membership in our £100,000 prize Jackpot! Call 09061701444 now Reply STOP to opt out",,,
ham,"WELL, LOL THAT'S SO FUNNY, SEND ME THE VIDEO :)",,,
ham,"Well, What are you doing this weekend? haha",,,
ham,"Well, Can you send me the address again? :)",,,
ham,"ALSO, I'M ON MY WAY, BE THERE IN 10 MINS LET ME KNOW",,,
ham,"Also, I left my keys at your place, can you check? no rush",,,
spam,"Hi, Reminder: your reward of £750 is waiting, claim now by texting CLAIM to 82277 before it expires T&Cs apply",,,
ham,"Also, Cool, see you then let me know",,,
ham,"Also, What time does the movie start? ok?",,,
spam,"NOTICE: URGENT! YOU HAVE WON A 1 WEEK FREE MEMBERSHIP IN OUR £100,000 PRIZE JACKPOT! CALL 09061701444 NOW LIMITED TIME ONLY 5945",,,
ham,"Also, The kids are asking when you'll be back",,,
spam,NOTICE: Congratulations! You have been selected to receive a free iPhone. Claim now by texting CLAIM to 84484 4893,,,
ham,"Hey, Good morning, hope you slept well 3286",,,
ham,HAPPY BIRTHDAY! HOPE YOU HAVE A GREAT DAY OK?,,,
ham,"Well, Sorry I missed your call, was in a meeting no rush 4385",,,
ham,"Well, U dun say so early hor, u c already then say ok?",,,
